"city_matched","label","State","Population_city","hosp_count","mean_rating","median_rating","ACCESS2_city","hcoverage_city","BINGE_city","BPHIGH_city","BPMED_city","CANCER_city","CASTHMA_city","CHD_city","CHECKUP_city","CHOLSCREEN_city","COLONSCREEN_city","COPD_city","COREM_city","COREW_city","CSMOKING_city","DIABETES_city","HIGHCHOL_city","KIDNEY_city","LPA_city","MAMMOUSE_city","MHLTH_city","OBESITY_city","PAPTEST_city","SLEEP_city","STROKE_city","long","lati","PlaceName"
"abilene","Abilene, TX","TX",117063,2,4,4,24.7,75.3,16.2,31.6,60.6,6,8.9,6.3,67.3,72.6,58.5,6.7,31.6,30.9,19.6,10.9,34.4,3.3,27.7,74.5,11.6,33.7,76.3,35.4,3.1,-99.7383043723,32.4546510898,"Abilene"
"akron","Akron, OH","OH",199110,6,3,3,17.6,82.4,14.8,36.2,66.9,5.7,11.6,7.5,70.1,72.9,56.6,9.4,28.8,26.9,26.8,13,33,3.3,31,70.1,15.3,37.3,74.7,44.1,3.9,-81.5219213688,41.0801444942,"Akron"
"alameda","Alameda, CA","CA",73812,1,2,2,10.7,89.3,15,24.3,51.5,5.7,7.9,4.5,66,74,67.5,4.3,33.5,30.1,11.9,8.1,31.3,2.2,18.7,80.2,9.8,18.7,81.7,32.3,2.2,-122.266489842,37.7650849031,"Alameda"
"albany","Albany, GA","GA",77434,2,1,1,29.5,70.5,10.9,45.7,69.3,5.7,11.6,7.2,75.8,72.8,60,9.2,29.1,25.6,23.7,15.9,35.5,3.8,33.1,78.7,16.2,40.4,78.6,46.9,5,-84.1763240815,31.5776036766,"Albany"
"albany","Albany, NY","NY",97856,3,2,2,14.8,85.2,15.5,33.4,62.4,5.8,10.9,6,73.8,78.2,62.4,7.1,31.7,28.6,19,10.9,33.8,2.2,26.1,76.6,13.2,31.1,80.8,39.7,3.3,-73.7986826267,42.6663969604,"Albany"
"albuquerque","Albuquerque, NM","NM",545852,5,3,3,17,83,14.5,25.9,54.3,6.1,9.8,5.3,61.1,70.1,63.9,5.4,32.7,32.6,18.8,9.3,29.2,2.9,20.4,75,11.6,25.5,80.4,32.8,2.6,-106.647447696,35.1055025771,"Albuquerque"
"alexandria","Alexandria, VA","VA",139966,2,3,3,12.3,87.7,15.1,27.5,61.4,5.7,8.3,4.7,72.9,80,72,4.3,38.8,37.7,13,8.1,30.9,2.2,17.6,83.4,8.4,23.3,87.6,34.5,2.3,-77.0867762661,38.8187351557,"Alexandria"
"alhambra","Alhambra, CA","CA",83089,2,4,4,17.9,82.1,12,26.2,51.1,4.5,6.8,4.6,67,73.1,55.9,4,22.4,25.3,12.2,10.9,35.3,2.3,24.8,79.7,10.1,18.1,73.7,38.4,2.3,-118.135514119,34.0839734383,"Alhambra"
"allen","Allen, TX","TX",84246,2,3,3,13,87,18.7,27.1,58.2,6.1,7.4,4.6,71.4,78.5,67.5,4.2,35.5,38.1,12,7.8,30.2,2.7,18.8,80,7.9,24.2,83,32.1,2.1,-96.6735373763,33.1087043234,"Allen"
"allentown","Allentown, PA","PA",118032,3,2,2,25.8,74.2,15.4,33.6,63.1,5.9,10.9,7.2,67.1,69.2,56.6,8,33.2,28.6,24.3,13.2,33.6,3,32.3,74.1,15.7,36.6,76.5,42.3,3.5,-75.4755373968,40.596099618,"Allentown"
"amarillo","Amarillo, TX","TX",190695,3,4,4,24.8,75.2,16.5,30.8,61.1,6,8.7,6,66.7,72.4,59.6,6.3,32.6,33,18.5,10.4,33.5,3.2,27.9,74.8,11.3,32,76.2,32.9,2.9,-101.828292514,35.2003835544,"Amarillo"
"anaheim","Anaheim, CA","CA",336265,4,3,3,22.1,77.9,16.3,27.5,52.5,5.3,8.4,5.6,64.4,73.8,58.9,5.5,24.7,27.2,15.2,10.5,32,2.6,26.2,78.8,12.5,23.3,78.5,33.8,2.7,-117.857613481,33.8389076996,"Anaheim"
"ann arbor","Ann Arbor, MI","MI",113934,2,2,2,9.4,90.6,18.7,27.3,57.1,6.4,9.2,5.1,69.3,76.1,74.6,5,35.6,41.7,13.1,7.6,33.1,2.6,16.8,85.9,9.4,26.4,84,31,2.2,-83.7311374448,42.2756833567,"Ann Arbor"
"antioch","Antioch, CA","CA",102372,2,2,2,16.8,83.2,15.8,29.7,53.4,5.7,9.1,5.8,65.4,74.8,62.6,5.9,27.5,25.8,16.1,10.3,32.1,2.6,24.4,79.1,12.6,30.5,81.9,37.9,2.9,-121.796606971,37.9777042922,"Antioch"
"apple valley","Apple Valley, CA","CA",69135,1,2,2,16.9,83.1,16.9,29,53.1,6.1,9.5,6.1,65.1,71.6,61.3,6.9,29.6,27.9,18.1,10,32.5,2.6,23.1,78.6,13.7,27,81.6,36.7,3,-117.211012664,34.5315984948,"Apple Valley"
"appleton","Appleton, WI","WI",72623,2,4,4,9.9,90.1,25.4,28.9,57.6,6.1,9.2,5.1,67.9,75.4,70.5,5,31.9,34,16.7,8,32.8,2.2,19.4,80,10.5,29.6,84.1,28.6,2.4,-88.3897664444,44.2776987457,"Appleton"
"arlington","Arlington, TX","TX",365438,5,3,4,24.1,75.9,15.3,32.4,61.7,5.9,8.9,5.7,68.5,74.9,62.9,6,35.3,34.8,17,10.9,32.9,3.2,26,75.9,10.6,32.2,79.2,35.5,2.9,-97.125089612,32.699836862,"Arlington"
"arlington heights","Arlington Heights, IL","IL",75101,1,3,3,8.1,91.9,23.6,23.7,57.3,6,8.3,4.6,69,75.2,67.8,4.2,38.5,35.1,14.1,6.6,30.3,2.1,17,79.8,8.6,21.5,83.9,30.2,2,-87.9825627457,42.095623342,"Arlington Heights"
"arvada","Arvada, CO","CO",106433,1,3,3,11.8,88.2,20.4,23.8,51.4,5.9,8.5,4.5,60.3,76.2,65.9,4.5,41.6,36.2,16.5,5.8,29.2,2.2,14.4,73.3,9.3,20,84.5,26.6,2.2,-105.146327974,39.8308263293,"Arvada"
"asheville","Asheville, NC","NC",83393,1,4,4,16.7,83.3,14.9,33.3,60.8,6.2,8.4,6.1,74.8,76.2,69.6,6.3,36.8,40.9,19,8.7,33.5,2.3,20.1,81.2,11.4,26.4,84.6,30.3,2.9,-82.5537350816,35.5708251391,"Asheville"
"athens","Athens, GA","GA",115452,2,4,4,23.2,76.8,13.2,36.6,65.6,5.9,9.6,6.4,72.3,73.8,61.5,7.4,32.3,29,18.9,12.3,35.6,3.3,26.5,77.9,13.5,32.2,79.4,38.5,3.6,-83.3689417445,33.9508170683,"Athens"
"atlanta","Atlanta, GA","GA",420003,9,3,3,19.7,80.3,14.1,36.1,63.9,5.7,9.4,6.1,76.2,78.1,63.3,6.5,29.7,28.1,16.6,13.5,31.7,3.4,22.4,80.7,12,31.6,84.2,40.4,4.1,-84.4231419055,33.7626524683,"Atlanta"
"auburn","Auburn, WA","WA",70180,2,2,2,14.7,85.3,18.5,27.9,51,6.4,10.4,5.9,59.5,72.1,63.4,6.6,30.5,32.1,17.6,8.9,30.3,2.9,18.7,72.6,12.6,27,78.2,33.4,3,-122.210810557,47.3038544325,"Auburn"
"augusta","Augusta, GA","GA",195844,4,2,2,24.2,75.8,12.5,41.9,66.9,5.8,10.2,6.7,75.7,74.6,62.7,8,32.4,26.6,21.8,14.4,33.5,3.5,28.1,79.9,14.3,36,81.9,44.1,4.2,-82.0708396775,33.3644561527,"Augusta"
"aurora","Aurora, CO","CO",325078,4,3,3,18.9,81.1,16.5,28.1,53.7,5.7,9,5,61.2,73.2,61.1,5.3,38.1,31.6,18.2,8.4,30.7,2.5,19.9,71.5,10.9,25.8,80.5,33.2,2.8,-104.726526621,39.7091594781,"Aurora"
"aurora","Aurora, IL","IL",197899,2,3,3,19.8,80.2,18.5,29.9,59.7,5.5,9.5,6.3,65.3,71.4,56.3,6.1,31.3,25.6,17.6,11.1,33.4,2.8,27,72.5,11.8,32,80.7,35.5,3.1,-88.2900949057,41.7637750837,"Aurora"
"austin","Austin, TX","TX",790390,12,4,4,20.9,79.1,18.9,28.5,58.1,5.7,7.7,5.3,67.2,74.4,61.1,5,34.1,31.9,13.2,9.7,33.5,2.8,21.4,77.1,9.6,26,82.6,29,2.6,-97.7554771245,30.3068610342,"Austin"
"bakersfield","Bakersfield, CA","CA",347483,6,2,2,20.9,79.1,16.8,31.6,53.8,5.8,9.1,6.2,66.2,71.5,60.7,6.4,26,26.8,17.6,10.9,34.8,2.8,27.1,76.9,13.5,30.3,80.6,34.8,3.1,-119.029786003,35.3513302855,"Bakersfield"
"baldwin park","Baldwin Park, CA","CA",75390,1,3,3,30.1,69.9,14.3,27.4,50.5,4.5,7.9,6.1,64.5,72.4,50.9,5.1,20,20.3,15.3,13.7,35.7,2.9,30,77.4,13.3,27.4,77.5,38.9,2.9,-117.972100918,34.082871519,"Baldwin Park"
"baton rouge","Baton Rouge, LA","LA",229493,6,3,3,22.9,77.1,15.7,41.6,68.3,5.9,8.9,7.7,77,74.5,62.3,7.1,39.3,32.7,22.8,12.6,32.8,3,30.4,79.8,13.6,36.8,82.3,36.6,4,-91.1263551997,30.4510891679,"Baton Rouge"
"baytown","Baytown, TX","TX",71802,2,3,3,30.9,69.1,15.8,33.4,61.7,5.5,8.8,6.4,67.8,73.3,56.5,6.9,28.5,29.8,18.2,12.3,34.7,3.2,30,75.1,12.2,34.4,76.6,35.9,3.4,-94.9676276217,29.7571153043,"Baytown"
"beaumont","Beaumont, TX","TX",118296,2,3,3,26.2,73.8,15,36.7,66.3,5.6,9.7,6.3,71.2,72,59.1,6.9,28.1,29.5,20.9,13.4,33.2,3.7,30.4,76.3,12.1,37.4,77.2,38.1,4,-94.1441072222,30.084416647,"Beaumont"
"bellevue","Bellevue, WA","WA",122363,1,3,3,8,92,18.2,25.4,49.6,6.2,8.1,4.2,61.7,73.2,71.2,3.6,34.8,39.8,9.6,6.5,29.3,2.4,12.2,78.5,7.9,18.8,82.2,29.1,2,-122.153569982,47.5962437606,"Bellevue"
"bellingham","Bellingham, WA","WA",80885,1,4,4,12.1,87.9,18.3,29.3,50.2,6.7,10.5,5.6,60,69.4,67.7,6.3,35.8,34.6,16.6,8.3,32.1,2.8,17.6,73.9,12.1,27,79.5,27.5,2.7,-122.468092906,48.7535370315,"Bellingham"
"bend","Bend, OR","OR",76639,1,3,3,11,89,20.1,27.8,50.4,6.8,9,5.3,60.9,71.9,66,5.2,37.3,30.2,16,7.4,32.4,2.8,14.6,76.8,11.5,26.1,82.9,30,2.5,-121.308690416,44.0561827184,"Bend"
"berkeley","Berkeley, CA","CA",112580,1,2,2,9.9,90.1,15.8,25.9,52.3,6.1,8.2,4.7,66,73.4,70.3,4.3,35.5,30.7,11.3,7.8,31.4,2.2,16.5,81.4,9.8,21,84.1,30.9,2.3,-122.274907975,37.8725678765,"Berkeley"
"bethlehem","Bethlehem, PA","PA",74982,3,3,3,17.1,82.9,17,32.4,62,6,10.2,6.2,68.7,71.9,62.9,6.5,33.9,31.1,21.2,10.6,33.2,2.5,26.2,76.6,13.4,33.6,79.7,38.7,2.8,-75.3679048175,40.6266402578,"Bethlehem"
"billings","Billings, MT","MT",104170,2,4,4,15.4,84.6,19.6,26.9,52.9,6.3,9.6,5.2,63.4,70.8,60.4,6,38.8,34.1,21.6,7.7,29.7,2.1,20.3,72.1,10.8,27.6,80.2,30,2.6,-108.54882784,45.7893102609,"Billings"
"birmingham","Birmingham, AL","AL",212237,8,3,3,21.4,78.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,16.1,35.4,3.3,31.7,79.7,17,39,80.1,46.9,5,-86.7988174678,33.5275663773,"Birmingham"
"bloomington","Bloomington, IL","IL",76610,2,4,4,10.7,89.3,19.5,27.8,59.4,6,9.3,5.6,65.6,74.2,63,5.6,35.6,30.4,16.9,8.3,33,2.4,21.7,76.7,10.4,29.1,82,33.1,2.6,-88.9700813515,40.4756778366,"Bloomington"
"bloomington","Bloomington, IN","IN",80405,2,4,4,16.5,83.5,13.9,32.8,62.6,6.2,10.2,6.3,62.2,70.6,61.7,7.3,32.2,27.8,19.8,9.3,35.1,2.5,23.1,71.9,12.6,29,75.7,35.1,2.8,-86.5257124351,39.1637458221,"Bloomington"
"bloomington","Bloomington, MN","MN",82893,1,4,4,8.5,91.5,21.1,24.4,55.4,5.9,8.7,4.7,67.6,77.2,69.6,4,32.5,37.9,15.5,6.7,31.3,1.9,17.5,81.3,8.3,23.1,85.6,29,2.2,-93.3150995817,44.8305852429,"Bloomington"
"boca raton","Boca Raton, FL","FL",84392,2,2,2,15,85,18.9,29.1,60.1,6.7,7.7,5.3,71.6,77.4,71.5,5.2,38,34.4,15.1,7.3,35.3,2.6,17.6,80.2,10.7,20.9,85,34.8,2.2,-80.1078208861,26.3749012715,"Boca Raton"
"boise city","Boise City, ID","ID",205671,3,4,4,16.4,83.6,15.8,27.6,52.4,6.2,8.9,5.4,60.6,70.6,63.3,5,32.3,31.4,16.4,6.9,31.6,2.2,16.4,72.3,10.4,25.8,78.3,28.9,2.6,-116.230885189,43.5984343897,"Boise City"
"bolingbrook","Bolingbrook, IL","IL",73366,1,2,2,13.3,86.7,19.2,30.5,59.9,5.4,9,5.5,67.1,73.7,61.4,5.1,30.4,25.9,16.2,10.1,32.1,2.5,23.8,76.4,10,31.8,81.7,37.8,2.7,-88.1011218035,41.6911653908,"Bolingbrook"
"boston","Boston, MA","MA",617594,13,3,3,10,90,17.7,29.5,59.6,5.8,12.1,6,75.6,78.4,67.8,6.7,29.1,31.9,17.4,10.8,31.1,3,21.6,86.6,13.4,26,85,36.8,3.1,-71.0916505804,42.3155796777,"Boston"
"boulder","Boulder, CO","CO",97385,3,3,3,10.6,89.4,17.6,23.1,52.4,6,8.6,4.4,58.9,75.1,65.9,4.1,39.2,37.7,12.1,5.4,29.3,2,11.6,75.4,8.7,16.6,84.2,25.4,2.2,-105.25151776,40.0275510494,"Boulder"
"boynton beach","Boynton Beach, FL","FL",68217,2,2,2,22.3,77.7,16.4,33.6,63.5,6.4,9.2,6.4,72.8,77.3,64.7,7.3,33.8,29.9,20.6,10.3,35.6,3.2,24.5,77.3,13.8,26.7,81.3,40.7,3.2,-80.0814660417,26.5279818052,"Boynton Beach"
"bridgeport","Bridgeport, CT","CT",144229,2,2,2,23,77,14.4,34.4,60.5,5.6,10.5,6.5,66.2,76.3,59.4,7.1,27.3,30.2,22.6,12.5,31.4,3.1,29.7,77.9,14.3,32.5,80.4,40.6,3.7,-73.196054694,41.1928054233,"Bridgeport"
"brockton","Brockton, MA","MA",93810,2,3,3,12,88,16.4,34.4,61.8,6.4,13.8,7,80.9,79.7,63.7,9.4,25.4,26.7,26,12.4,32.8,3.3,28.8,83.4,16.6,35.9,84.4,45.7,3.5,-71.0241656338,42.082071372,"Brockton"
"broken arrow","Broken Arrow, OK","OK",98850,1,4,4,11.9,88.1,15.3,32.2,60.9,5.9,9,6,62.5,73.1,64.4,6,42.3,42,18.2,8.7,34.1,2.3,23,70.1,11.9,27.2,80.1,33.9,2.5,-95.7809572414,36.0366324911,"Broken Arrow"
"brownsville","Brownsville, TX","TX",175023,2,3,3,46.7,53.3,12.8,33.7,60.7,4.3,8.4,7.2,63.4,65.3,44.9,6.3,27.3,20,17.7,16.9,35.8,3.6,37.7,67.5,13.2,39.9,72.4,35.1,3.5,-97.4566343763,25.9981977861,"Brownsville"
"bryan","Bryan, TX","TX",76201,2,3,3,28.7,71.3,14.5,33.3,63.1,5.7,9.1,6.4,70,72.7,60.9,6.8,34.9,31.3,18.2,12.6,33.3,3.5,29.2,76.3,12.3,34.8,76.4,33.6,3.5,-96.3663819223,30.6665687582,"Bryan"
"buena park","Buena Park, CA","CA",80530,1,3,3,17.8,82.2,15.8,26.9,52.6,5.2,7.9,5,65.5,74.4,60.1,4.9,25.1,28.6,14,9.9,31.7,2.4,24.4,79.8,11.2,20.5,77.8,33.9,2.5,-118.004517591,33.8572126844,"Buena Park"
"buffalo","Buffalo, NY","NY",261310,4,2,2,18.3,81.7,15.6,34.5,63.8,5.6,11.9,6.8,75.8,75.9,58.9,8.6,25.4,24.5,22.8,12.8,33,2.6,31.2,77.6,15.2,36.3,79.7,43.6,4.1,-78.8475237264,42.9014518233,"Buffalo"
"burbank","Burbank, CA","CA",103340,1,3,3,12.6,87.4,17.7,25.4,49.8,6,7.9,5.2,66.9,76.1,65.1,4.8,27.7,29.4,13.4,8.3,34.2,2.3,18,81.6,10.7,21.9,83.6,34.2,2.3,-118.323429032,34.1879799605,"Burbank"
"burlington","Burlington, VT","VT",42417,1,3,3,10.1,89.9,18,27.9,54,6.2,10.9,5.3,62.4,73.2,67.9,5.9,32.6,33.6,16.3,7.1,26.5,2.5,17.7,79.6,11.4,22.6,82.1,28.7,2.6,-73.2314828365,44.4876245694,"Burlington"
"cambridge","Cambridge, MA","MA",105162,2,3,3,5.6,94.4,17.4,28.4,57.3,6.6,10.9,4.9,76.4,80.9,73.9,4.8,34,32.4,12.1,8.2,31.3,2.4,17.7,88,10.1,23.3,87.5,33.5,2.2,-71.1183992378,42.3758188051,"Cambridge"
"camden","Camden, NJ","NJ",77344,2,3,3,33.9,66.1,12.1,42.2,64.8,4.8,11.7,8.2,73.7,71.1,49.2,9.2,21.4,16.3,24.9,17.8,36.8,3.6,41.6,73.4,17.2,42.2,74.8,50.8,5.2,-75.1072961899,39.9361910066,"Camden"
"canton","Canton, OH","OH",73007,2,4,4,19.2,80.8,15.6,36.5,65.1,5.9,11.8,7.9,69.3,70.9,55.4,10.3,30.9,26.7,28.1,13.3,34.3,3.3,32.6,71.6,16.5,38.6,73.7,41.5,4,-81.3676594998,40.8080192662,"Canton"
"cape coral","Cape Coral, FL","FL",154305,1,2,2,20.1,79.9,19.5,28.2,58.4,6.6,8.5,6.2,70.3,74.8,64.7,6.8,34.4,33,20.6,8.6,34,2.8,20.8,80.1,13,25.5,80.5,34,2.7,-81.9931108298,26.6448544993,"Cape Coral"
"carmel","Carmel, IN","IN",79191,4,4,4,7.7,92.3,17.1,28,61.7,6.2,8.3,4.7,68.7,78.4,71.6,4.3,37.4,34.7,11.8,6.8,31,2.1,15,79.7,8.3,24.6,86.5,29,1.9,-86.1461278461,39.9658404613,"Carmel"
"carrollton","Carrollton, TX","TX",119097,1,2,2,21.3,78.7,16.4,28.9,59.1,5.7,7.8,5.2,69.5,74.8,62.6,5,35.1,34.8,14.5,9.6,33.3,3,23.8,78.4,9.4,26.8,78.8,31.8,2.5,-96.900137433,32.988438459,"Carrollton"
"cary","Cary, NC","NC",135234,1,3,3,12.2,87.8,15.9,25.8,56.1,5.9,6.9,5,72.2,79,74.2,4.3,43.6,43.8,12.8,6.8,31.6,2,14.4,83.9,8.5,21.2,87.5,27.9,2.1,-78.8152191642,35.7814978722,"Cary"
"cedar rapids","Cedar Rapids, IA","IA",126326,2,4,4,9.2,90.8,20.5,28.1,60.2,6.2,8.4,5.4,69.5,74.7,68.2,5.3,35.3,35.2,18.7,8.4,36,2.4,23.1,83,9.4,32,85.2,29,2.5,-91.6781679349,41.966729258,"Cedar Rapids"
"centennial","Centennial, CO","CO",100377,2,4,4,8.4,91.6,19.8,23.7,50.5,6.1,7.7,3.9,62.2,76.5,70,3.6,44.5,38.6,12.7,5.4,29.5,1.9,12.2,76,7.9,19.3,86.2,27.9,1.9,-104.867986891,39.592872073,"Centennial"
"champaign","Champaign, IL","IL",81055,2,3,3,12.5,87.5,18.6,29.6,61.9,5.9,9.5,5.6,66.3,72.7,61.5,5.6,36.2,30,16.8,9.1,33,2.4,22.4,76.4,10.8,30.2,79.6,33.6,2.8,-88.2729845986,40.1151051361,"Champaign"
"chandler","Chandler, AZ","AZ",236123,2,4,4,12.3,87.7,16.2,26,54.8,6,9.1,5,66.1,72.8,67,5.3,34.5,35.2,15.3,7.7,33.1,3.1,17.4,80.3,10.2,24.5,83.5,32.9,2.4,-111.852210033,33.28318981,"Chandler"
"charleston","Charleston, SC","SC",120083,3,4,5,15,85,19.9,32.5,64.7,6.3,8.4,5.5,69,77.8,69.5,5.7,44.6,36.5,17.4,9.8,35.9,2.3,19.4,79.8,11.5,28,84.1,34.7,3,-79.967381899,32.8136961892,"Charleston"
"charleston","Charleston, WV","WV",51400,4,3,3,11.4,88.6,11.8,37.6,63.2,6.4,10.3,7.2,78.1,75.3,67.6,8.5,47.5,44.9,24.1,10.9,35.1,3.1,23.6,80.2,14.1,33.2,82.1,38.3,3,-81.632165003,38.3484079736,"Charleston"
"charlotte","Charlotte, NC","NC",731424,4,3,3,19.8,80.2,14.7,34.7,61.5,5.8,8.4,6.1,74.6,77.1,67.9,6.1,38.2,38.5,16.8,10.3,36,2.7,20.5,79.8,11.4,27.8,85.1,34,3.3,-80.8300754645,35.2078721969,"Charlotte"
"chattanooga","Chattanooga, TN","TN",167674,3,3,3,18.5,81.5,11,39.2,67.3,6.1,9.9,7.2,74.5,76.3,61.6,8.5,35.1,35.3,24.1,12.6,31.6,3.1,29.2,80.4,15.4,35.1,83.2,38.1,3.8,-85.2466771892,35.0662472165,"Chattanooga"
"chesapeake","Chesapeake, VA","VA",222209,1,2,2,13.6,86.4,15.2,34.6,63.2,5.8,9.2,5.6,76.7,79.4,70.5,5.9,39.9,34.3,19,9.4,32.8,2.4,23.3,82.2,10.3,31.4,86.4,37.8,2.8,-76.3024325925,36.6777521118,"Chesapeake"
"cheyenne","Cheyenne, WY","WY",59466,1,2,2,17.2,82.8,16.4,28.7,57.2,5.9,9.5,5.7,60.2,71.3,57.8,6.4,33.2,28.4,21.8,8,30.7,2.5,24.2,72.1,10.5,29.6,79,31.4,2.5,-104.789064332,41.1460804265,"Cheyenne"
"chicago","Chicago, IL","IL",2695598,30,2,2,18.8,81.2,18.7,31.5,62.9,5.3,10.2,6,69.9,72.1,56.9,6.1,29.9,25.3,19.1,12.4,31.5,3,27.6,77,12.1,31.3,78.6,37.4,3.7,-87.6862308732,41.8372950615,"Chicago"
"chico","Chico, CA","CA",86187,1,3,3,13.4,86.6,18.4,29.9,50.3,6.5,9.4,5.8,61.8,72.3,62.3,6.5,29,29.3,17,8.6,34,2.4,20.6,78.1,13,27.1,81.3,33.5,2.8,-121.815983972,39.7568503668,"Chico"
"chino","Chino, CA","CA",77983,1,4,4,17.3,82.7,16.9,27.4,51.2,5.3,8.2,5.5,65.7,72.3,61.7,5.1,28,26.8,14.2,10.4,32,2.5,22.4,80.5,11.5,24.7,83.8,36,2.6,-117.665296584,33.983588126,"Chino"
"chula vista","Chula Vista, CA","CA",243916,1,4,4,19.2,80.8,16.6,26.1,51.7,5.1,7.7,5.4,66.2,73.9,60.7,4.8,27,24.7,12.8,11.1,30.9,2.7,24,79.3,11.4,23.9,82.1,35.7,2.5,-117.010042407,32.6282964262,"Chula Vista"
"cincinnati","Cincinnati, OH","OH",296943,10,4,4,17.3,82.7,15.9,36.9,65,5.7,11.4,7.3,72.7,73.2,61.1,8.8,32.9,25,24,13.8,32.8,3.6,27,74.6,14.7,36.5,78.3,38.9,4.2,-84.5060004524,39.1411747124,"Cincinnati"
"clarksville","Clarksville, TN","TN",132929,1,2,2,16.2,83.8,11.7,38.2,65.5,6.2,9.4,7,75.8,76.6,63.4,7.9,35.8,37.2,23.2,11.4,33.3,2.9,28.2,80,14.3,30.8,83.7,38.3,3.3,-87.3432371614,36.569683159,"Clarksville"
"clearwater","Clearwater, FL","FL",107685,3,4,4,21.2,78.8,20,30.9,60.5,6.6,8.9,6.4,69.8,75.1,64.7,7.3,35.1,34.2,22.6,9.2,34.9,2.8,21.9,77.8,13.6,28.5,79,37.3,2.9,-82.7544099135,27.9805997919,"Clearwater"
"cleveland","Cleveland, OH","OH",396815,12,4,4,23.3,76.7,15.2,38.7,67.1,5.5,13.1,8.3,73.1,72.8,54.6,10.8,26.5,21.1,27.9,16.8,32.4,4.1,34.2,74.1,17.2,42.1,73.3,45.4,5.1,-81.6805494865,41.4765345821,"Cleveland"
"clovis","Clovis, CA","CA",95631,1,2,2,13.3,86.7,17.6,27.7,51.7,6,8.7,5.5,64.8,71.4,66.5,5.7,31.2,29.7,13.8,8.9,32.6,2.3,21.8,79,11.9,23.6,82.7,29.6,2.6,-119.68665285,36.8289400179,"Clovis"
"college station","College Station, TX","TX",93857,3,4,4,17.4,82.6,15.4,31.1,62.2,6.1,8.1,5.5,70.6,73.1,67.4,5.4,38.9,34.9,13.9,9.5,33,3,21.8,78.6,9.8,28.3,77.8,30.3,2.7,-96.2957958614,30.5867615801,"College Station"
"colorado springs","Colorado Springs, CO","CO",416427,2,4,4,13.9,86.1,15.2,27.5,54.6,6,8.5,4.9,65,73.6,66.4,4.9,38.2,33.9,17.2,7.1,32.5,2.4,17,73.7,10,23.3,81.6,30,2.5,-104.760664479,38.8672748077,"Colorado Springs"
